area__rucc,area__urban_influence,demo__birth_rate_per_1k,demo__death_rate_per_1k,demo__pct_adults_bachelors_or_higher,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_aged_65_years_and_older,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_below_18_years_of_age,demo__pct_female,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_excessive_drinking,health__pct_low_birthweight,health__pct_physical_inacticity,health__pop_per_dentist,health__pop_per_primary_care_physician,heart_disease_mortality_per_100k,row_id,yr
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",8.0,9.0,0.18613861386138614,0.12475247524752475,0.3732673267326733,0.31584158415841584,0.19,0.068,0.002,0.193,0.42100000000000004,0.02,0.005,0.885,Farm-dependent,0.424,0.027000000000000003,0.16399999999999998,0.079,12.0,26.32,0.321,0.207,0.098,0.161,0.07200000000000001,0.299,2859.0,1160.0,219,724,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",9.0,13.0,0.2522080471050049,0.08243375858684984,0.3159960745829244,0.34936211972522074,0.268,0.113,0.0,0.17300000000000001,0.491,0.006,0.003,0.871,Recreation,0.47600000000000003,0.078,0.175,0.084,11.0,16.34,0.28300000000000003,0.188,0.10400000000000001,0.24600000000000002,0.055999999999999994,0.24600000000000002,930.0,1530.0,244,725,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",11.0,11.0,0.14285714285714282,0.0839160839160839,0.39660339660339655,0.3766233766233766,0.22899999999999998,0.0,0.006,0.225,0.493,0.027999999999999997,0.006,0.965,Farm-dependent,0.527,0.027999999999999997,0.209,0.102,12.0,14.82,0.33899999999999997,0.095,0.094,0.21600000000000003,0.08199999999999999,0.324,1609.0,1350.0,218,726,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,11.0,12.0,0.21492537313432836,0.11343283582089553,0.4099502487562188,0.2616915422885572,0.17800000000000002,0.0,0.005,0.19899999999999998,0.509,0.005,0.036000000000000004,0.93,Mining-dependent,0.46299999999999997,0.068,0.212,0.049,14.0,11.66,0.318,0.218,0.125,0.094,0.09,0.32,1959.0,1450.0,294,728,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,15.0,10.0,0.24288617886178865,0.13211382113821138,0.2865853658536585,0.3384146341463415,0.14300000000000002,0.005,0.027999999999999997,0.24100000000000002,0.512,0.23800000000000002,0.071,0.6609999999999999,Nonspecialized,0.47,0.038,0.281,0.11800000000000001,10.0,15.77,0.281,0.20800000000000002,0.10099999999999999,0.095,0.087,0.252,1539.0,1579.0,303,729,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",10.0,7.0,0.12677484787018256,0.20689655172413796,0.3569979716024341,0.3093306288032454,0.13,0.045,0.012,0.192,0.37200000000000005,0.21100000000000002,0.036000000000000004,0.675,Mining-dependent,0.39,0.07200000000000001,0.28300000000000003,0.244,14.0,14.82,0.29600000000000004,0.264,0.079,0.21899999999999997,0.08199999999999999,0.226,4209.0,1350.0,247,730,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,12.0,11.0,0.1282565130260521,0.1843687374749499,0.4248496993987976,0.2625250501002004,0.16,0.0,0.0,0.24100000000000002,0.515,0.019,0.114,0.838,Nonspecialized,0.518,0.049,0.19699999999999998,0.07200000000000001,13.0,20.45,0.373,0.249,0.11699999999999999,0.128,0.08900000000000001,0.344,1779.0,1770.0,319,733,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",14.0,15.0,0.12056737588652483,0.25835866261398177,0.3576494427558257,0.2634245187436677,0.184,0.0,0.008,0.256,0.495,0.044000000000000004,0.39,0.552,Nonspecialized,0.395,0.07400000000000001,0.344,0.10400000000000001,12.0,27.25,0.33399999999999996,0.18600000000000003,0.131,0.147,0.159,0.344,4059.0,2099.0,355,737,a
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,11.0,9.0,0.1753507014028056,0.19238476953907813,0.3166332665330661,0.3156312625250501,0.146,0.053,0.004,0.262,0.49200000000000005,0.5920000000000001,0.016,0.337,Nonspecialized,0.38799999999999996,0.078,0.27899999999999997,0.08199999999999999,10.0,20.28,0.292,0.22,0.087,0.121,0.08900000000000001,0.24100000000000002,5439.0,3059.0,224,738,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",13.0,15.0,0.13672654690618766,0.13373253493013973,0.34331337325349304,0.3862275449101796,0.19,0.0,0.006,0.22,0.514,0.008,0.0,0.9740000000000001,Nonspecialized,0.46399999999999997,0.065,0.182,0.033,14.0,16.79,0.302,0.205,0.102,0.147,0.079,0.295,4159.0,2370.0,304,741,b
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,11.0,10.0,0.1911911911911912,0.17217217217217215,0.2992992992992993,0.3373373373373373,0.14300000000000002,0.0,0.013000000000000001,0.237,0.512,0.06,0.151,0.746,Nonspecialized,0.479,0.075,0.237,0.06,13.0,15.66,0.271,0.258,0.129,0.132,0.107,0.28800000000000003,2069.0,1520.0,291,742,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",13.0,11.0,0.1279296875,0.1826171875,0.388671875,0.30078125,0.27399999999999997,0.003,0.006999999999999999,0.212,0.5,0.01,0.001,0.9740000000000001,Farm-dependent,0.49,0.019,0.212,0.142,10.0,14.82,0.36200000000000004,0.162,0.11,0.204,0.08199999999999999,0.309,1609.0,1350.0,207,746,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,9.0,11.0,0.2358870967741936,0.1683467741935484,0.3689516129032258,0.2268145161290323,0.188,0.009000000000000001,0.015,0.204,0.511,0.019,0.10099999999999999,0.857,Nonspecialized,0.56,0.039,0.21100000000000002,0.09699999999999999,13.0,25.88,0.326,0.307,0.099,0.147,0.081,0.23600000000000002,3340.0,1460.0,232,748,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",17.0,9.0,0.07881773399014777,0.3064039408866995,0.3527093596059113,0.2620689655172413,0.129,0.033,0.0,0.297,0.507,0.318,0.05,0.601,Manufacturing-dependent,0.322,0.064,0.405,0.11,11.0,35.38,0.382,0.221,0.138,0.15,0.077,0.308,4329.0,1719.0,346,753,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",10.0,12.0,0.13786213786213788,0.20179820179820185,0.36863136863136864,0.2917082917082917,0.161,0.006,0.013999999999999999,0.18899999999999997,0.45799999999999996,0.042,0.266,0.66,Federal/State government-dependent,0.359,0.06,0.233,0.1,12.0,26.05,0.332,0.184,0.132,0.111,0.106,0.327,5210.0,2459.0,321,754,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,11.0,10.0,0.2318407960199005,0.20895522388059695,0.3373134328358209,0.2218905472636816,0.136,0.006,0.031,0.196,0.524,0.015,0.358,0.575,Federal/State government-dependent,0.445,0.069,0.233,0.049,12.0,23.69,0.34,0.187,0.152,0.10800000000000001,0.094,0.299,3699.0,1840.0,321,755,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,15.0,9.0,0.2066869300911854,0.09929078014184398,0.33434650455927056,0.3596757852077001,0.11199999999999999,0.054000000000000006,0.021,0.245,0.48,0.122,0.16699999999999998,0.574,Federal/State government-dependent,0.39899999999999997,0.047,0.231,0.09,10.0,14.93,0.33399999999999996,0.295,0.10800000000000001,0.17600000000000002,0.077,0.295,1109.0,1369.0,329,756,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",9.0,13.0,0.25251509054325955,0.13682092555331993,0.3460764587525151,0.26458752515090544,0.231,0.008,0.006,0.20600000000000002,0.511,0.083,0.012,0.884,Recreation,0.40399999999999997,0.08900000000000001,0.341,0.154,13.0,18.47,0.28600000000000003,0.205,0.13699999999999998,0.147,0.096,0.244,2779.0,2320.0,250,757,b
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,11.0,10.0,0.22211155378486053,0.12250996015936255,0.3585657370517928,0.296812749003984,0.163,0.0,0.016,0.2,0.513,0.02,0.07400000000000001,0.8809999999999999,Federal/State government-dependent,0.46299999999999997,0.066,0.19899999999999998,0.075,13.0,9.74,0.33,0.262,0.11800000000000001,0.114,0.092,0.29100000000000004,1799.0,1120.0,279,759,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,10.0,11.0,0.17699115044247787,0.16617502458210426,0.3608652900688299,0.29596853490658803,0.184,0.013999999999999999,0.006,0.217,0.49,0.03,0.017,0.9420000000000001,Farm-dependent,0.5379999999999999,0.046,0.223,0.08800000000000001,13.0,24.98,0.28300000000000003,0.267,0.109,0.147,0.068,0.243,7730.0,3070.0,252,760,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,14.0,7.0,0.163,0.09300000000000001,0.40299999999999997,0.341,0.11599999999999999,0.008,0.0,0.257,0.48200000000000004,0.14400000000000002,0.005,0.8290000000000001,Mining-dependent,0.564,0.048,0.20600000000000002,0.114,13.0,21.34,0.23800000000000002,0.223,0.07,0.259,0.09300000000000001,0.251,1899.0,2239.0,231,761,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",10.0,13.0,0.10133060388945753,0.19651995905834188,0.4657113613101331,0.2364380757420676,0.166,0.077,0.0,0.244,0.51,0.006,0.248,0.6509999999999999,Manufacturing-dependent,0.40299999999999997,0.099,0.222,0.087,13.0,28.4,0.361,0.192,0.139,0.147,0.098,0.316,8620.0,5779.0,341,762,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,16.0,9.0,0.22178217821782176,0.08316831683168317,0.2871287128712871,0.4079207920792079,0.175,0.008,0.006,0.24600000000000002,0.509,0.015,0.002,0.9640000000000001,Farm-dependent,0.667,0.028999999999999998,0.193,0.12,13.0,14.82,0.289,0.205,0.077,0.147,0.08199999999999999,0.295,1609.0,1350.0,230,763,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,14.0,10.0,0.156686626746507,0.08782435129740518,0.4910179640718562,0.26447105788423153,0.171,0.006,0.011000000000000001,0.257,0.493,0.016,0.013000000000000001,0.9570000000000001,Manufacturing-dependent,0.5539999999999999,0.027999999999999997,0.147,0.068,13.0,16.05,0.278,0.142,0.096,0.3,0.047,0.284,3700.0,2269.0,306,766,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",14.0,9.0,0.18452380952380956,0.0853174603174603,0.3690476190476191,0.3611111111111111,0.146,0.008,0.024,0.247,0.491,0.012,0.005,0.9490000000000001,Manufacturing-dependent,0.5539999999999999,0.036000000000000004,0.11,0.075,12.0,9.84,0.335,0.105,0.079,0.147,0.059000000000000004,0.247,2610.0,1409.0,223,769,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,14.0,8.0,0.15911379657603222,0.2215508559919436,0.2618328298086606,0.35750251762336355,0.132,0.019,0.0,0.266,0.506,0.45799999999999996,0.037000000000000005,0.49,Mining-dependent,0.493,0.038,0.292,0.14800000000000002,9.0,18.05,0.282,0.153,0.095,0.147,0.087,0.26899999999999996,2350.0,2089.0,286,770,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,15.0,6.0,0.37624750499002,0.0499001996007984,0.19860279441117765,0.375249500998004,0.111,0.011000000000000001,0.011000000000000001,0.212,0.495,0.012,0.023,0.9079999999999999,Nonspecialized,0.542,0.026000000000000002,0.125,0.047,11.0,6.78,0.273,0.162,0.075,0.201,0.07400000000000001,0.21,1460.0,899.0,206,774,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,13.0,10.0,0.14929859719438876,0.13627254509018036,0.40480961923847697,0.3096192384769539,0.172,0.009000000000000001,0.0,0.233,0.5,0.017,0.006999999999999999,0.9570000000000001,Manufacturing-dependent,0.449,0.068,0.177,0.061,13.0,19.6,0.303,0.226,0.126,0.205,0.061,0.248,3679.0,2900.0,300,776,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,10.0,11.0,0.17048853439680955,0.11665004985044865,0.37288135593220334,0.3399800598205384,0.17,0.0,0.004,0.221,0.495,0.094,0.027000000000000003,0.8740000000000001,Nonspecialized,0.525,0.065,0.15,0.039,12.0,15.08,0.295,0.221,0.10300000000000001,0.251,0.078,0.233,2070.0,2350.0,303,778,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,8.0,8.0,0.3404471544715447,0.04979674796747968,0.3150406504065041,0.2947154471544715,0.146,0.003,0.019,0.22399999999999998,0.495,0.08,0.017,0.8740000000000001,Recreation,0.539,0.06,0.127,0.051,11.0,7.32,0.242,0.18,0.07200000000000001,0.179,0.064,0.245,1429.0,1989.0,256,779,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,13.0,6.0,0.7989949748743718,0.02613065326633165,0.06532663316582914,0.10954773869346733,0.105,0.006999999999999999,0.1,0.247,0.512,0.09300000000000001,0.042,0.7490000000000001,Nonspecialized,0.564,0.034,0.087,0.034,13.0,16.82,0.268,0.205,0.10099999999999999,0.147,0.081,0.222,339.0,330.0,166,781,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",10.0,16.0,0.12586037364798427,0.14945919370698132,0.4395280235988201,0.2851524090462144,0.285,0.006,0.003,0.19,0.515,0.033,0.079,0.8640000000000001,Manufacturing-dependent,0.332,0.099,0.29100000000000004,0.14300000000000002,9.0,40.66,0.31,0.205,0.13699999999999998,0.147,0.07400000000000001,0.289,2590.0,10430.0,346,784,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",8.0,4.0,0.33101391650099404,0.05666003976143141,0.23658051689860835,0.3757455268389662,0.076,0.046,0.006,0.20600000000000002,0.455,0.026000000000000002,0.006999999999999999,0.878,Recreation,0.5660000000000001,0.105,0.221,0.109,13.0,14.82,0.242,0.209,0.069,0.285,0.08199999999999999,0.209,1609.0,1350.0,239,785,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",13.0,9.0,0.13800000000000004,0.172,0.3690000000000001,0.3210000000000001,0.157,0.0,0.013999999999999999,0.235,0.48700000000000004,0.161,0.009000000000000001,0.8059999999999999,Manufacturing-dependent,0.531,0.036000000000000004,0.171,0.06,11.0,23.43,0.32299999999999995,0.235,0.10300000000000001,0.21100000000000002,0.087,0.289,2820.0,5630.0,273,786,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,15.0,9.0,0.12373225152129814,0.17342799188640975,0.4513184584178499,0.2515212981744422,0.11900000000000001,0.0,0.0,0.276,0.501,0.027999999999999997,0.003,0.953,Nonspecialized,0.456,0.066,0.22,0.063,13.0,24.0,0.35,0.272,0.115,0.147,0.085,0.342,3560.0,1900.0,315,787,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",10.0,11.0,0.1035175879396985,0.2100502512562814,0.4492462311557789,0.2371859296482412,0.19,0.0,0.0,0.23399999999999999,0.499,0.045,0.536,0.40399999999999997,Farm-dependent,0.33399999999999996,0.091,0.281,0.054000000000000006,12.0,28.68,0.39,0.358,0.157,0.147,0.11599999999999999,0.361,2260.0,1140.0,420,788,a
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,11.0,12.0,0.12612612612612611,0.21421421421421424,0.4084084084084084,0.25125125125125125,0.174,0.004,0.003,0.228,0.518,0.01,0.0,0.9790000000000001,Federal/State government-dependent,0.38799999999999996,0.077,0.235,0.052000000000000005,13.0,23.74,0.35100000000000003,0.332,0.142,0.122,0.134,0.389,2609.0,1999.0,279,789,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,14.0,8.0,0.0803921568627451,0.3735294117647059,0.3568627450980392,0.1892156862745098,0.114,0.0,0.003,0.249,0.449,0.8759999999999999,0.013999999999999999,0.096,Nonspecialized,0.301,0.133,0.375,0.127,9.0,18.96,0.292,0.205,0.094,0.147,0.086,0.281,21920.0,3149.0,214,791,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",13.0,14.0,0.10337972166998012,0.2753479125248509,0.4105367793240556,0.21073558648111326,0.162,0.0,0.006,0.24100000000000002,0.52,0.040999999999999995,0.5479999999999999,0.41100000000000003,Nonspecialized,0.397,0.094,0.268,0.08800000000000001,13.0,21.08,0.381,0.142,0.136,0.147,0.128,0.273,4079.0,2340.0,381,793,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,15.0,8.0,0.1741741741741742,0.2052052052052052,0.2712712712712713,0.34934934934934936,0.125,0.012,0.01,0.321,0.49700000000000005,0.262,0.0,0.713,Farm-dependent,0.49,0.042,0.293,0.11599999999999999,11.0,28.97,0.295,0.129,0.10300000000000001,0.107,0.081,0.22899999999999998,1550.0,1220.0,254,794,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",10.0,13.0,0.11352418558736425,0.14017769002961494,0.4846989141164856,0.26159921026653504,0.19699999999999998,0.006999999999999999,0.001,0.198,0.505,0.009000000000000001,0.008,0.98,Manufacturing-dependent,0.40399999999999997,0.084,0.221,0.053,13.0,17.24,0.344,0.301,0.14400000000000002,0.17800000000000002,0.09300000000000001,0.36200000000000004,9100.0,1819.0,340,795,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",13.0,14.0,0.2344689378757515,0.03907815631262525,0.3376753507014028,0.3887775551102205,0.204,0.0,0.0,0.23600000000000002,0.514,0.024,0.006999999999999999,0.958,Nonspecialized,0.503,0.036000000000000004,0.16399999999999998,0.067,10.0,25.88,0.325,0.18,0.096,0.151,0.08199999999999999,0.28300000000000003,2889.0,850.0,212,796,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",11.0,8.0,0.12636815920398012,0.2875621890547264,0.3621890547263682,0.2238805970149254,0.151,0.011000000000000001,0.011000000000000001,0.221,0.473,0.051,0.41700000000000004,0.515,Nonspecialized,0.34299999999999997,0.078,0.316,0.1,13.0,23.59,0.311,0.205,0.128,0.147,0.114,0.28300000000000003,1609.0,3070.0,331,799,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,14.0,11.0,0.1629327902240326,0.18228105906313646,0.395112016293279,0.25967413441955195,0.139,0.0,0.004,0.23600000000000002,0.515,0.021,0.021,0.9259999999999999,Manufacturing-dependent,0.431,0.07,0.22899999999999998,0.055999999999999994,13.0,21.84,0.33799999999999997,0.261,0.114,0.095,0.09300000000000001,0.314,1940.0,2240.0,320,800,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",14.0,11.0,0.1398601398601399,0.2407592407592408,0.4265734265734266,0.19280719280719286,0.14800000000000002,0.002,0.013999999999999999,0.249,0.496,0.09699999999999999,0.19,0.691,Nonspecialized,0.47700000000000004,0.083,0.292,0.13,13.0,40.56,0.348,0.273,0.141,0.147,0.11599999999999999,0.321,9410.0,2039.0,330,804,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",10.0,13.0,0.14866204162537167,0.20218037661050545,0.35877106045589696,0.29038652130822595,0.196,0.006,0.002,0.204,0.507,0.011000000000000001,0.043,0.9309999999999999,Nonspecialized,0.44299999999999995,0.054000000000000006,0.215,0.048,13.0,25.78,0.319,0.242,0.126,0.14400000000000002,0.08199999999999999,0.342,6569.0,3720.0,301,806,b
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,12.0,7.0,0.3871287128712872,0.08514851485148514,0.2465346534653465,0.2811881188118812,0.132,0.01,0.027000000000000003,0.22899999999999998,0.501,0.067,0.16,0.7120000000000001,Federal/State government-dependent,0.526,0.054000000000000006,0.111,0.040999999999999995,13.0,10.1,0.281,0.145,0.096,0.18,0.078,0.23199999999999998,1590.0,1450.0,252,807,b
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,14.0,9.0,0.29261083743842364,0.1123152709359606,0.2876847290640394,0.3073891625615764,0.13699999999999998,0.006999999999999999,0.02,0.235,0.512,0.091,0.228,0.636,Nonspecialized,0.531,0.063,0.21,0.085,9.0,12.18,0.311,0.22,0.10800000000000001,0.158,0.076,0.247,1280.0,1360.0,269,808,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",8.0,15.0,0.2280524722502523,0.11604439959636732,0.34611503531786075,0.3097880928355197,0.31,0.01,0.001,0.141,0.518,0.036000000000000004,0.0,0.968,Recreation,0.374,0.1,0.253,0.128,13.0,22.63,0.27399999999999997,0.205,0.141,0.147,0.08800000000000001,0.29100000000000004,3769.0,1169.0,230,810,b
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,6.0,10.0,0.2929493545183714,0.07745779543197617,0.3336643495531282,0.2959285004965244,0.265,0.005,0.005,0.16699999999999998,0.512,0.016,0.09699999999999999,0.871,Recreation,0.466,0.045,0.182,0.10099999999999999,12.0,22.8,0.273,0.244,0.126,0.147,0.071,0.25,8969.0,4480.0,266,813,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",12.0,12.0,0.1376518218623482,0.19230769230769232,0.43218623481781376,0.2378542510121457,0.168,0.015,0.009000000000000001,0.235,0.526,0.013999999999999999,0.435,0.521,Manufacturing-dependent,0.32899999999999996,0.11599999999999999,0.221,0.044000000000000004,13.0,29.09,0.353,0.133,0.146,0.083,0.132,0.308,3600.0,2090.0,312,814,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",12.0,5.0,0.2171314741035857,0.09163346613545817,0.3376494023904383,0.3535856573705179,0.133,0.035,0.006,0.248,0.475,0.10800000000000001,0.004,0.836,Mining-dependent,0.42,0.045,0.18,0.124,13.0,29.33,0.225,0.14300000000000002,0.062,0.187,0.073,0.163,1700.0,1140.0,219,815,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",9.0,12.0,0.18793969849246228,0.11055276381909547,0.34271356783919604,0.35879396984924616,0.221,0.008,0.008,0.184,0.5,0.031,0.0,0.94,Federal/State government-dependent,0.40700000000000003,0.121,0.292,0.139,11.0,26.52,0.261,0.20800000000000002,0.09699999999999999,0.157,0.067,0.231,1639.0,1299.0,267,817,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",15.0,7.0,0.1975683890577508,0.10739614994934142,0.2958459979736575,0.39918946301925023,0.153,0.019,0.004,0.31,0.49200000000000005,0.135,0.0,0.833,Nonspecialized,0.488,0.034,0.24100000000000002,0.146,12.0,24.39,0.284,0.122,0.092,0.038,0.084,0.235,1579.0,1789.0,249,819,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,14.0,10.0,0.1402805611222445,0.2374749498997996,0.3296593186372745,0.2925851703406813,0.158,0.005,0.0,0.26,0.503,0.046,0.13699999999999998,0.799,Manufacturing-dependent,0.456,0.064,0.303,0.1,12.0,30.51,0.33299999999999996,0.306,0.127,0.105,0.12,0.32299999999999995,3070.0,1820.0,355,820,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",14.0,11.0,0.1200406917599186,0.23499491353001015,0.4343845371312309,0.2105798575788403,0.139,0.0,0.009000000000000001,0.252,0.5,0.087,0.193,0.693,Nonspecialized,0.46799999999999997,0.073,0.294,0.09699999999999999,13.0,37.58,0.35,0.28300000000000003,0.149,0.147,0.10099999999999999,0.298,9219.0,2040.0,331,823,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",12.0,12.0,0.2700205338809035,0.12217659137577001,0.3449691991786448,0.2628336755646817,0.16699999999999998,0.026000000000000002,0.017,0.19699999999999998,0.47600000000000003,0.054000000000000006,0.028999999999999998,0.8690000000000001,Mining-dependent,0.565,0.032,0.213,0.109,10.0,21.45,0.33399999999999996,0.14800000000000002,0.10400000000000001,0.149,0.084,0.344,2449.0,1090.0,381,824,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",12.0,11.0,0.13911290322580647,0.15221774193548387,0.3608870967741936,0.3477822580645161,0.13699999999999998,0.053,0.008,0.195,0.447,0.034,0.001,0.893,Mining-dependent,0.467,0.031,0.259,0.12,12.0,14.82,0.289,0.154,0.087,0.209,0.087,0.273,2990.0,1039.0,247,826,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",11.0,12.0,0.14554455445544556,0.2881188118811881,0.3623762376237624,0.20396039603960395,0.153,0.0,0.002,0.222,0.47100000000000003,0.005,0.69,0.28,Nonspecialized,0.303,0.10800000000000001,0.271,0.1,11.0,35.37,0.42200000000000004,0.22899999999999998,0.184,0.14,0.158,0.379,3510.0,2409.0,400,827,b
